pyo_id,pyo_label,original_pyov_id,producers_fg_total,producers_strains_total,fg_production_count,strain_production_count,utilizers_fg_total,utilizers_strains_total,fg_utilization_count,strain_utilization_count,fg_util_prod_ratio,strain_util_prod_ratio,fg_rec_syn_ratio,strain_rec_syn_ratio,cooperators_fg,crossfeeders_fg,nonproducers_fg,cooperators_strains,crossfeeders_strains,nonproducers_strains,cooperators_fg_frac,crossfeeders_fg_frac,nonproducers_fg_frac,cooperators_strain_frac,crossfeeders_strain_frac,nonproducers_strain_frac,module_id,module_fg_count,module_pyo_count,module_nestedness,module_fill_pct,is_large_module,is_nested_module,is_major_module
PYO_70,pyov_221,221,1,3,1,3,9,18,9,18,9,6,9,6,1,7,1,3,13,2,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.16666666666666666,0.7222222222222222,0.1111111111111111,5,6,6,0,100,FALSE,FALSE,FALSE
PYO_74,pyov_229,229,1,1,1,1,4,6,4,6,4,6,4,6,1,3,0,1,5,0,0.25,0.75,0,0.16666666666666666,0.8333333333333334,0,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_75,pyov_230,230,1,1,1,1,4,6,4,6,4,6,4,6,1,3,0,1,5,0,0.25,0.75,0,0.16666666666666666,0.8333333333333334,0,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_91,pyov_276,276,3,53,3,53,38,297,38,297,12.666666666666666,5.60377358490566,12.666666666666666,5.60377358490566,3,23,12,53,209,35,0.07894736842105263,0.6052631578947368,0.3157894736842105,0.17845117845117844,0.7037037037037037,0.11784511784511785,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_01,pyov_6,6,1,3,1,3,5,16,5,16,5,5.333333333333333,5,5.333333333333333,1,2,2,3,5,8,0.2,0.4,0.4,0.1875,0.3125,0.5,2,10,9,0,33.333333333333336,FALSE,FALSE,FALSE
PYO_86,pyov_269,269,1,2,1,2,4,10,4,10,4,5,4,5,1,3,0,2,8,0,0.25,0.75,0,0.2,0.8,0,6,4,4,0,100,FALSE,FALSE,FALSE
PYO_72,pyov_223,223,1,4,1,4,9,18,9,18,9,4.5,9,4.5,1,7,1,4,12,2,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.1111111111111111,5,6,6,0,100,FALSE,FALSE,FALSE
PYO_09,pyov_16,16,1,2,1,2,4,9,4,9,4,4.5,4,4.5,1,3,0,2,7,0,0.25,0.75,0,0.2222222222222222,0.7777777777777778,0,2,10,9,0,33.333333333333336,FALSE,FALSE,FALSE
PYO_03,pyov_8,8,1,4,1,4,5,16,5,16,5,4,5,4,1,2,2,4,4,8,0.2,0.4,0.4,0.25,0.25,0.5,2,10,9,0,33.333333333333336,FALSE,FALSE,FALSE
PYO_76,pyov_249,249,1,13,1,13,7,52,7,52,7,4,7,4,1,5,1,13,38,1,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.25,0.7307692307692307,0.019230769230769232,7,5,4,0,100,FALSE,FALSE,FALSE
PYO_53,pyov_97,97,1,9,1,9,9,34,9,34,9,3.7777777777777777,9,3.7777777777777777,1,4,4,9,11,14,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.2647058823529412,0.3235294117647059,0.4117647058823529,3,55,21,84.08512616148458,67.53246753246754,TRUE,TRUE,TRUE
PYO_10,pyov_17,17,1,3,1,3,4,9,4,9,4,3,4,3,1,3,0,3,6,0,0.25,0.75,0,0.3333333333333333,0.6666666666666666,0,2,10,9,0,33.333333333333336,FALSE,FALSE,FALSE
PYO_20,pyov_33,33,9,115,9,115,58,333,58,333,6.444444444444445,2.8956521739130436,6.444444444444445,2.8956521739130436,9,34,15,115,167,51,0.15517241379310345,0.5862068965517241,0.25862068965517243,0.34534534534534533,0.5015015015015015,0.15315315315315314,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_90,pyov_275,275,3,108,3,108,38,297,38,297,12.666666666666666,2.75,12.666666666666666,2.75,2,24,12,107,155,35,0.05263157894736842,0.631578947368421,0.3157894736842105,0.3602693602693603,0.5218855218855218,0.11784511784511785,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_50,pyov_87,87,7,21,7,21,25,55,25,55,3.5714285714285716,2.619047619047619,3.5714285714285716,2.619047619047619,7,15,3,21,25,9,0.28,0.6,0.12,0.38181818181818183,0.45454545454545453,0.16363636363636364,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_28,pyov_41,41,8,148,8,148,32,387,32,387,4,2.614864864864865,4,2.614864864864865,8,21,3,148,207,32,0.25,0.65625,0.09375,0.38242894056847543,0.5348837209302325,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,TRUE,TRUE
PYO_22,pyov_35,35,10,175,10,175,32,387,32,387,3.2,2.2114285714285713,3.2,2.2114285714285713,10,19,3,175,180,32,0.3125,0.59375,0.09375,0.45219638242894056,0.46511627906976744,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,TRUE,TRUE
PYO_60,pyov_115,115,3,25,3,25,14,49,14,49,4.666666666666667,1.96,4.666666666666667,1.96,3,10,1,25,23,1,0.21428571428571427,0.7142857142857143,0.07142857142857142,0.5102040816326531,0.46938775510204084,0.02040816326530612,0,31,16,85.71428571428574,66.12903225806451,TRUE,TRUE,TRUE
PYO_77,pyov_250,250,2,28,2,28,7,52,7,52,3.5,1.8571428571428572,3.5,1.8571428571428572,2,4,1,28,23,1,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.5384615384615384,0.4423076923076923,0.019230769230769232,7,5,4,0,100,FALSE,FALSE,FALSE
PYO_04,pyov_10,10,2,36,2,36,9,61,9,61,4.5,1.6944444444444444,4.5,1.6944444444444444,2,2,5,36,5,20,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.5901639344262295,0.08196721311475409,0.32786885245901637,1,4,2,0,100,FALSE,FALSE,FALSE
PYO_87,pyov_270,270,1,6,1,6,4,10,4,10,4,1.6666666666666667,4,1.6666666666666667,1,3,0,6,4,0,0.25,0.75,0,0.6,0.4,0,6,4,4,0,100,FALSE,FALSE,FALSE
PYO_73,pyov_228,228,2,4,2,4,4,6,4,6,2,1.5,2,1.5,2,2,0,4,2,0,0.5,0.5,0,0.6666666666666666,0.3333333333333333,0,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_29,pyov_42,42,2,12,2,12,3,15,3,15,1.5,1.25,1.5,1.25,2,0,1,12,0,3,0.6666666666666666,0,0.3333333333333333,0.8,0,0.2,10,NA,NA,NA,NA,FALSE,FALSE,FALSE
PYO_80,pyov_255,255,3,13,3,13,5,16,5,16,1.6666666666666667,1.2307692307692308,1.6666666666666667,1.2307692307692308,3,1,1,13,1,2,0.6,0.2,0.2,0.8125,0.0625,0.125,3,55,21,84.08512616148458,67.53246753246754,TRUE,TRUE,TRUE
PYO_57,pyov_105,105,2,16,2,16,4,19,4,19,2,1.1875,2,1.1875,2,2,0,16,3,0,0.5,0.5,0,0.8421052631578947,0.15789473684210525,0,2,10,9,0,33.333333333333336,FALSE,FALSE,FALSE
PYO_12,pyov_22,22,4,768,4,768,32,869,32,869,8,1.1315104166666667,8,1.1315104166666667,3,19,10,767,41,61,0.09375,0.59375,0.3125,0.8826237054085155,0.047180667433831994,0.07019562715765247,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_30,pyov_51,51,4,101,4,101,6,103,6,103,1.5,1.0198019801980198,1.5,1.0198019801980198,4,2,0,101,2,0,0.6666666666666666,0.3333333333333333,0,0.9805825242718447,0.019417475728155338,0,3,55,21,84.08512616148458,67.53246753246754,TRUE,TRUE,TRUE
PYO_88,pyov_273,273,4,65,4,65,5,66,5,66,1.25,1.0153846153846153,1.25,1.0153846153846153,4,1,0,65,1,0,0.8,0.2,0,0.9848484848484849,0.015151515151515152,0,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_46,pyov_68,68,6,13,6,13,6,13,6,13,1,1,1,1,6,0,0,13,0,0,1,0,0,1,0,0,8,48,25,54.58372393043916,37.666666666666664,TRUE,TRUE,TRUE
PYO_49,pyov_85,85,4,11,4,11,4,11,4,11,1,1,1,1,4,0,0,11,0,0,1,0,0,1,0,0,3,55,21,84.08512616148458,67.53246753246754,TRUE,TRUE,TRUE
